assembly_id,lowest_taxon_id,gca_chain,gca_version,is_current,asm_type,asm_level,asm_name,refseq_accession,release_date,submitter,lineage_id,assembly_id,bioproject_id,bioproject_id,bioproject_name,asm_metrics_id,assembly_id,metrics_name,metrics_value,organism_id,assembly_id,biosample_id,bioproject_id,tol_prefix,infra_type,infra_name,genebuild_status_id,assembly_id,gca_accession,gb_status,last_attempt,genebuilder,annotation_source,annotation_method,date_started,date_status_update,genebuild_version,last_genebuild_update,release_date,release_type,anno_metrics_id,assembly_id,genebuild_status_id,metrics_name,metrics_value
25878,9657,GCA_902655055,2,current,haploid,Chromosome,mLutLut1.2,GCF_902655055.1,2020-07-31,SC,46268,25878,PRJEB40665,PRJEB40665,DToL,304189,25878,total_number_of_chromosomes,20,26541,25878,SAMEA994731,PRJEB35339,mLutLut,,,977,25878,GCA_902655055.2,live,1,ftricomi,ensembl,full_genebuild,2023-08-01,2024-09-18,ENS01,2023-08-01,2024-09-18,beta,121608,25878,977,genebuild.busco,"C:94.3%[S:92.3%,D:2.0%],F:0.7%,M:5.0%,n:14502"
25878,9657,GCA_902655055,2,current,haploid,Chromosome,mLutLut1.2,GCF_902655055.1,2020-07-31,SC,46268,25878,PRJEB40665,PRJEB40665,DToL,304189,25878,total_number_of_chromosomes,20,26541,25878,SAMEA994731,PRJEB35339,mLutLut,,,977,25878,GCA_902655055.2,live,1,ftricomi,ensembl,full_genebuild,2023-08-01,2024-09-18,ENS01,2023-08-01,2024-09-18,beta,118538,25878,977,genebuild.busco_dataset,carnivora_odb10
25878,9657,GCA_902655055,2,current,haploid,Chromosome,mLutLut1.2,GCF_902655055.1,2020-07-31,SC,46268,25878,PRJEB40665,PRJEB40665,DToL,304189,25878,total_number_of_chromosomes,20,26541,25878,SAMEA994731,PRJEB35339,mLutLut,,,977,25878,GCA_902655055.2,live,1,ftricomi,ensembl,full_genebuild,2023-08-01,2024-09-18,ENS01,2023-08-01,2024-09-18,beta,115475,25878,977,genebuild.busco_version,5.3.2
25878,9657,GCA_902655055,2,current,haploid,Chromosome,mLutLut1.2,GCF_902655055.1,2020-07-31,SC,46268,25878,PRJEB40665,PRJEB40665,DToL,304189,25878,total_number_of_chromosomes,20,26541,25878,SAMEA994731,PRJEB35339,mLutLut,,,977,25878,GCA_902655055.2,live,1,ftricomi,ensembl,full_genebuild,2023-08-01,2024-09-18,ENS01,2023-08-01,2024-09-18,beta,103982,25878,977,genebuild.id,51
25878,9657,GCA_902655055,2,current,haploid,Chromosome,mLutLut1.2,GCF_902655055.1,2020-07-31,SC,46268,25878,PRJEB40665,PRJEB40665,DToL,304189,25878,total_number_of_chromosomes,20,26541,25878,SAMEA994731,PRJEB35339,mLutLut,,,977,25878,GCA_902655055.2,live,1,ftricomi,ensembl,full_genebuild,2023-08-01,2024-09-18,ENS01,2023-08-01,2024-09-18,beta,31669,25878,977,genebuild.last_geneset_update,2023-08-01 00:00:00
25878,9657,GCA_902655055,2,current,haploid,Chromosome,mLutLut1.2,GCF_902655055.1,2020-07-31,SC,46268,25878,PRJEB40665,PRJEB40665,DToL,304189,25878,total_number_of_chromosomes,20,26541,25878,SAMEA994731,PRJEB35339,mLutLut,,,977,25878,GCA_902655055.2,live,1,ftricomi,ensembl,full_genebuild,2023-08-01,2024-09-18,ENS01,2023-08-01,2024-09-18,beta,34767,25878,977,genebuild.level,toplevel
25878,9657,GCA_902655055,2,current,haploid,Chromosome,mLutLut1.2,GCF_902655055.1,2020-07-31,SC,46268,25878,PRJEB40665,PRJEB40665,DToL,304189,25878,total_number_of_chromosomes,20,26541,25878,SAMEA994731,PRJEB35339,mLutLut,,,977,25878,GCA_902655055.2,live,1,ftricomi,ensembl,full_genebuild,2023-08-01,2024-09-18,ENS01,2023-08-01,2024-09-18,beta,108904,25878,977,genebuild.projection_source_db,homo_sapiens_core_110_38
25878,9657,GCA_902655055,2,current,haploid,Chromosome,mLutLut1.2,GCF_902655055.1,2020-07-31,SC,46268,25878,PRJEB40665,PRJEB40665,DToL,304189,25878,total_number_of_chromosomes,20,26541,25878,SAMEA994731,PRJEB35339,mLutLut,,,977,25878,GCA_902655055.2,live,1,ftricomi,ensembl,full_genebuild,2023-08-01,2024-09-18,ENS01,2023-08-01,2024-09-18,beta,975,25878,977,genebuild.stats_average_cds_length,1696.58
25878,9657,GCA_902655055,2,current,haploid,Chromosome,mLutLut1.2,GCF_902655055.1,2020-07-31,SC,46268,25878,PRJEB40665,PRJEB40665,DToL,304189,25878,total_number_of_chromosomes,20,26541,25878,SAMEA994731,PRJEB35339,mLutLut,,,977,25878,GCA_902655055.2,live,1,ftricomi,ensembl,full_genebuild,2023-08-01,2024-09-18,ENS01,2023-08-01,2024-09-18,beta,4036,25878,977,genebuild.stats_average_coding_exons_per_coding_tr,10.59
25878,9657,GCA_902655055,2,current,haploid,Chromosome,mLutLut1.2,GCF_902655055.1,2020-07-31,SC,46268,25878,PRJEB40665,PRJEB40665,DToL,304189,25878,total_number_of_chromosomes,20,26541,25878,SAMEA994731,PRJEB35339,mLutLut,,,977,25878,GCA_902655055.2,live,1,ftricomi,ensembl,full_genebuild,2023-08-01,2024-09-18,ENS01,2023-08-01,2024-09-18,beta,7091,25878,977,genebuild.stats_average_coding_exons_per_transcrip,10.91
